bird_name,autumn_year,autumn_locs,autumn_start,autumn_end,spring_year,spring_locs,spring_start,spring_end,mean_spring,migID,prop_locs_in_mag
Andi,2019,95,2019-08-02T07:45:30Z,2019-10-31T13:56:46Z,2021,128,2021-04-15T12:00:59Z,2021-05-28T07:16:40Z,2021-05-06T21:38:49.500Z,Andi_2021,0.2890625
Andi,2019,95,2019-08-02T07:45:30Z,2019-10-31T13:56:46Z,2022,100,2022-04-17T07:07:30Z,2022-05-19T13:27:35Z,2022-05-03T10:17:32.500Z,Andi_2022,0.35
Boyana,2018,97,2018-09-08T10:23:29Z,2018-10-22T14:41:37Z,2019,140,2019-06-08T12:29:46Z,2019-07-23T15:44:05Z,2019-07-01T02:06:55.500Z,Boyana_2019,0.635714285714286
Boyana,2018,97,2018-09-08T10:23:29Z,2018-10-22T14:41:37Z,2020,205,2020-04-13T11:34:29Z,2020-06-29T13:44:23Z,2020-05-22T00:39:26Z,Boyana_2020,0.760975609756098
Deni,2020,92,2020-08-03T04:57:43Z,2020-09-29T12:06:50Z,2022,154,2022-04-01T10:29:10Z,2022-05-31T13:41:05Z,2022-05-01T12:05:07.500Z,Deni_2022,0.207792207792208
Deni,2020,92,2020-08-03T04:57:43Z,2020-09-29T12:06:50Z,2023,121,2023-04-02T13:18:45Z,2023-05-15T13:26:39Z,2023-04-24T01:22:42Z,Deni_2023,0.297520661157025
Dobromir,2012,86,2012-09-07T04:00:00Z,2012-10-31T14:00:00Z,2014,58,2014-05-08T10:00:00Z,2014-05-31T14:00:00Z,2014-05-20T00:00:00Z,Dobromir_2014,0.258620689655172
Dobromir,2012,86,2012-09-07T04:00:00Z,2012-10-31T14:00:00Z,2015,60,2015-05-01T10:00:00Z,2015-05-31T16:00:00Z,2015-05-16T13:00:00Z,Dobromir_2015,0.55
Elizabeth,2022,44,2022-09-02T11:06:32Z,2022-09-30T14:03:15Z,2023,162,2023-05-01T11:54:17Z,2023-06-29T12:38:39Z,2023-05-31T00:16:28Z,Elizabeth_2023,0.864197530864198
Elizabeth,2022,44,2022-09-02T11:06:32Z,2022-09-30T14:03:15Z,2024,109,2024-04-03T08:46:47Z,2024-05-16T10:35:02Z,2024-04-24T21:40:54.500Z,Elizabeth_2024,0.697247706422018
Ferdinand,2021,89,2021-10-01T08:26:17Z,2021-10-31T14:20:25Z,2022,175,2022-05-01T07:54:20Z,2022-06-26T10:14:30Z,2022-05-29T09:04:25Z,Ferdinand_2022,0.262857142857143
Ferdinand,2021,89,2021-10-01T08:26:17Z,2021-10-31T14:20:25Z,2023,110,2023-04-03T13:32:03Z,2023-05-17T13:25:52Z,2023-04-25T13:28:57.500Z,Ferdinand_2023,0.454545454545455
Hedjet,2019,66,2019-09-09T08:50:21Z,2019-09-30T11:59:47Z,2021,95,2021-06-01T15:08:24Z,2021-06-30T14:11:38Z,2021-06-16T02:40:01Z,Hedjet_2021,0.663157894736842
Hedjet,2019,66,2019-09-09T08:50:21Z,2019-09-30T11:59:47Z,2022,157,2022-04-08T09:48:09Z,2022-05-31T13:10:50Z,2022-05-04T23:29:29.500Z,Hedjet_2022,0.859872611464968
Iliaz,2012,66,2012-09-19T12:00:00Z,2012-10-26T13:00:00Z,2015,155,2015-04-09T11:00:00Z,2015-06-27T11:00:00Z,2015-05-18T23:00:00Z,Iliaz_2015,0.748387096774194
Iliaz,2012,66,2012-09-19T12:00:00Z,2012-10-26T13:00:00Z,2016,99,2016-03-02T11:00:00Z,2016-04-28T12:00:00Z,2016-03-30T23:30:00Z,Iliaz_2016,0.575757575757576
Izi,2022,80,2022-09-08T09:57:49Z,2022-10-19T10:17:17Z,2023,91,2023-03-02T10:52:57Z,2023-04-17T12:52:16Z,2023-03-25T11:52:36.500Z,Izi_2023,0.142857142857143
Izi,2022,80,2022-09-08T09:57:49Z,2022-10-19T10:17:17Z,2024,77,2024-03-09T10:17:03Z,2024-03-28T16:03:33Z,2024-03-19T01:10:18Z,Izi_2024,0.012987012987013
Luis,2023,96,2023-09-01T08:09:51Z,2023-09-30T14:06:06Z,2024,38,2024-04-04T09:08:05Z,2024-04-26T07:28:00Z,2024-04-15T08:18:02.500Z,Luis_2024,0.0263157894736842
Oriana,2019,102,2019-09-21T11:27:53Z,2019-10-31T09:27:41Z,2021,167,2021-06-02T15:18:27Z,2021-07-29T10:42:59Z,2021-07-01T01:00:43Z,Oriana_2021,0.51497005988024
Panteley,2018,39,2018-09-02T10:29:09Z,2018-10-31T10:09:52Z,2019,21,2019-05-18T09:35:32Z,2019-05-27T11:00:29Z,2019-05-22T22:18:00.500Z,Panteley_2019,0.380952380952381
Panteley,2018,39,2018-09-02T10:29:09Z,2018-10-31T10:09:52Z,2020,172,2020-05-01T11:35:44Z,2020-07-31T13:22:20Z,2020-06-16T00:29:02Z,Panteley_2020,1
Polya,2018,86,2018-10-04T09:34:15Z,2018-11-30T08:19:42Z,2019,103,2019-06-05T11:05:21Z,2019-06-30T13:21:11Z,2019-06-18T00:13:16Z,Polya_2019,0.854368932038835
Polya,2018,86,2018-10-04T09:34:15Z,2018-11-30T08:19:42Z,2020,46,2020-04-03T07:45:36Z,2020-04-30T13:26:07Z,2020-04-16T22:35:51.500Z,Polya_2020,0.804347826086957
Sanie,2013,71,2013-09-18T10:00:00Z,2013-10-27T15:00:00Z,2015,176,2015-05-01T13:00:00Z,2015-07-31T15:00:00Z,2015-06-16T02:00:00Z,Sanie_2015,0.761363636363636
Sanie,2013,71,2013-09-18T10:00:00Z,2013-10-27T15:00:00Z,2016,106,2016-04-12T11:00:00Z,2016-05-31T14:00:00Z,2016-05-07T00:30:00Z,Sanie_2016,0.69811320754717
Sava,2020,116,2020-09-09T11:38:10Z,2020-10-29T13:37:33Z,2021,102,2021-05-01T08:49:04Z,2021-07-17T11:44:42Z,2021-06-08T22:16:53Z,Sava_2021,0.614754098360656
Siphera,2022,74,2022-10-02T10:32:51Z,2022-10-27T11:16:28Z,2024,138,2024-04-01T14:07:09Z,2024-05-25T08:34:40Z,2024-04-28T11:20:54.500Z,Siphera_2024,0.623188405797102
Solomon,2020,55,2020-10-02T08:29:41Z,2020-10-30T06:04:35Z,2021,67,2021-06-01T08:23:20Z,2021-06-28T13:22:45Z,2021-06-14T22:53:02.500Z,Solomon_2021,0.611940298507463
Solomon,2020,55,2020-10-02T08:29:41Z,2020-10-30T06:04:35Z,2022,101,2022-04-19T07:27:33Z,2022-05-27T14:00:07Z,2022-05-08T10:43:50Z,Solomon_2022,0.504950495049505
Tatul,2021,97,2021-09-13T11:22:37Z,2021-10-25T14:13:18Z,2022,81,2022-05-01T10:24:17Z,2022-05-31T15:07:25Z,2022-05-16T12:45:51Z,Tatul_2022,0.45679012345679
Tatul,2021,97,2021-09-13T11:22:37Z,2021-10-25T14:13:18Z,2023,112,2023-04-05T10:21:31Z,2023-05-24T10:15:51Z,2023-04-29T22:18:41Z,Tatul_2023,0.0803571428571429
Volen,2012,51,2012-09-05T14:00:00Z,2012-09-26T08:00:00Z,2014,102,2014-05-06T14:00:00Z,2014-06-27T12:00:00Z,2014-06-01T13:00:00Z,Volen_2014,0.372549019607843
Zara,2020,55,2020-10-05T09:53:30Z,2020-10-27T13:14:04Z,2021,71,2021-04-01T08:44:55Z,2021-05-15T08:35:07Z,2021-04-23T08:40:01Z,Zara_2021,0.577464788732394
Zara,2020,55,2020-10-05T09:53:30Z,2020-10-27T13:14:04Z,2022,143,2022-03-19T09:41:58Z,2022-04-30T14:30:39Z,2022-04-09T12:06:18.500Z,Zara_2022,0.727272727272727
